Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
31,TBR,2021-04-02,@,MIA,W 6-4,36,32,6,8,4,0,1,3,6,0,0,3,7,.250,.306,.594,.899,19,1,0,0,1,0
32,OAK,2021-04-02,,HOU,L 5-9,39,33,5,8,5,1,1,1,5,0,0,3,7,.242,.333,.424,.758,14,1,2,0,1,0
33,CHW,2021-04-02,@,LAA,W 12-8,45,40,12,13,9,2,0,2,12,0,0,5,11,.325,.400,.525,.925,21,0,0,0,0,0
34,MIA,2021-04-02,,TBR,L 4-6,39,36,4,10,7,2,1,0,3,1,0,3,7,.278,.333,.389,.722,14,0,0,0,0,0
35,LAA,2021-04-02,,CHW,L 8-12,40,35,8,8,4,1,1,2,6,0,0,5,12,.229,.325,.486,.811,17,1,0,0,0,1
36,HOU,2021-04-02,@,OAK,W 9-5,45,40,9,14,8,4,0,2,8,0,0,5,11,.350,.422,.600,1.022,24,2,0,0,0,1
37,SEA,2021-04-02,,SFG,L 3-6,35,31,3,6,3,3,0,0,3,0,0,4,12,.194,.286,.290,.576,9,2,0,0,0,0
38,ARI,2021-04-02,@,SDP,L 2-4,38,36,2,8,6,1,0,1,2,1,0,2,12,.222,.263,.333,.596,12,1,0,0,0,0
39,BAL,2021-04-02,@,BOS,W 3-0,36,34,3,9,7,2,0,0,3,0,0,2,7,.265,.306,.324,.629,11,2,0,0,0,0
40,LAD,2021-04-02,@,COL,W 11-6,47,41,11,16,9,5,2,0,11,0,0,2,7,.390,.422,.610,1.032,25,0,1,2,1,0
41,LAD,2021-04-03,@,COL,W 6-5,45,39,6,12,7,3,1,1,6,1,0,4,14,.308,.386,.513,.899,20,0,1,1,0,1
42,CHW,2021-04-03,@,LAA,L 3-5,39,35,3,9,7,1,0,1,3,0,0,3,10,.257,.333,.371,.705,13,1,1,0,0,0
43,BOS,2021-04-03,,BAL,L 2-4,37,33,2,7,6,1,0,0,2,1,0,2,8,.212,.270,.242,.513,8,0,1,0,1,0
44,TEX,2021-04-03,@,KCR,L 4-11,36,32,4,6,4,1,0,1,4,0,0,3,10,.188,.278,.313,.590,10,1,1,0,0,0
45,LAA,2021-04-03,,CHW,W 5-3,35,33,5,9,7,0,1,1,4,1,0,2,11,.273,.314,.424,.739,14,1,0,0,0,0
46,ATL,2021-04-03,@,PHI,L 0-4,28,28,0,1,1,0,0,0,0,0,0,0,14,.036,.036,.036,.071,1,0,0,0,0,0
47,MIA,2021-04-03,,TBR,W 12-7,42,35,12,14,7,4,1,2,11,4,0,5,10,.400,.452,.743,1.195,26,1,0,0,2,0
48,STL,2021-04-03,@,CIN,L 6-9,40,34,6,7,4,0,0,3,5,0,0,5,13,.206,.300,.471,.771,16,0,0,0,1,0
49,MIL,2021-04-03,,MIN,L 0-2,30,28,0,1,1,0,0,0,0,0,0,1,17,.036,.100,.036,.136,1,0,1,0,0,0
50,SEA,2021-04-03,,SFG,W 4-0,34,31,4,8,2,4,0,2,4,1,0,3,8,.258,.324,.581,.904,18,1,0,0,0,0
51,CHC,2021-04-03,,PIT,W 5-1,36,31,5,7,5,0,0,2,5,2,0,4,12,.226,.306,.419,.725,13,0,0,0,1,0
52,KCR,2021-04-03,,TEX,W 11-4,40,35,11,12,4,5,1,2,11,0,0,4,4,.343,.425,.714,1.139,25,1,1,0,0,0
53,HOU,2021-04-03,@,OAK,W 9-1,43,38,9,13,9,3,0,1,8,0,0,2,6,.342,.395,.500,.895,19,1,2,0,1,0
54,PHI,2021-04-03,,ATL,W 4-0,36,30,4,8,5,3,0,0,4,0,0,4,10,.267,.389,.367,.756,11,1,2,0,0,1
55,ARI,2021-04-03,@,SDP,L 0-7,30,30,0,4,4,0,0,0,0,0,0,0,11,.133,.133,.133,.267,4,1,0,0,0,0
56,CLE,2021-04-03,@,DET,L 2-5,36,31,2,7,5,1,0,1,2,0,0,4,6,.226,.306,.355,.660,11,2,0,0,1,0
57,NYY,2021-04-03,,TOR,W 5-3,41,35,5,11,9,1,0,1,5,0,0,6,10,.314,.415,.429,.843,15,0,0,0,0,0
58,MIN,2021-04-03,@,MIL,W 2-0,32,31,2,4,3,0,0,1,2,0,0,0,13,.129,.156,.226,.382,7,0,1,0,0,0
59,SDP,2021-04-03,,ARI,W 7-0,42,35,7,10,6,3,0,1,7,0,0,6,8,.286,.390,.457,.847,16,0,0,0,0,1
60,SFG,2021-04-03,@,SEA,L 0-4,35,32,0,6,5,1,0,0,0,0,0,2,12,.188,.257,.219,.476,7,1,1,0,0,0
61,DET,2021-04-03,,CLE,W 5-2,39,32,5,10,8,1,1,0,5,0,0,5,6,.313,.395,.406,.801,13,1,0,0,1,0
62,PIT,2021-04-03,@,CHC,L 1-5,33,32,1,6,5,0,1,0,1,0,0,1,12,.188,.212,.250,.462,8,0,0,0,0,0
63,COL,2021-04-03,,LAD,L 5-6,37,34,5,7,1,4,0,2,5,0,0,3,6,.206,.270,.500,.770,17,0,0,0,0,0
